,Product Name,Price,Brand
112,HP Omen,"1,77,990",HP
113,"acer Aspire 3 Intel Pentium N100 Processor Laptop with 35.56 cm (14"") Full HD IPS Display (16 GB RAM/512 GB SSD/Intel Graphics/Win11 Home/WiFi 6/38Wh) A324-31","34,990",ACER
114,ASUS Gaming V16 (2025) 14th Gen,"92,990",ASUS
115,"Lenovo Yoga 7 Intel Evo Core Ultra 5 125H Built-in AI 14""(35.5cm) WUXGA-OLED 400Nits 2-in-1 Laptop (16GB/1TB SSD/Win 11/Office Home 2024/Digital Pen/3 Mon. Game Pass/Teal/1.5Kg)","98,990",LENOVO
116,HP Smartchoice Victus,"92,990",HP
117,Lenovo Yoga Slim 7,"84,990",LENOVO
118,Apple 2025 MacBook Air (13-inch,"92,699",APPLE
119,HP 15 (2025),"37,400",HP
120,"Lenovo ThinkPad E14 Intel Core i7 13th Gen 14"" WUXGA IPS 300 Nits Thin and Light Laptop (16GB RAM/512GB SSD/DOS/Backlit Keyboard/Fingerprint/Arctic Grey/ 1Y Onsite/1.41 kg)","82,490",LENOVO
121,"Lenovo ThinkPad E14 Intel Core i7 13th Gen 14"" WUXGA IPS 300 Nits Thin and Light Laptop (16GB RAM/1TB SSD/Windows 11 Home/Backlit Keyboard/FPR/Black/1Y Onsite/1.41 kg)","94,990",LENOVO
122,HP Professional 14 (2025),"44,200",HP
123,Lenovo V15 G4 AMD Athlon Silver 7120U Laptop 8GB LPDDR5 Ram,"32,999",LENOVO
124,HP OmniBook 7 OLED,"1,18,990",HP
125,ASUS Gaming V16,"1,09,990",ASUS
126,acer Professional 14,"69,600",ACER
127,HP Omen,"1,38,990",HP
128,Lenovo LOQ,"76,990",LENOVO
129,Lenovo ThinkBook 16,"68,490",LENOVO
130,HP Victus,"85,990",HP
131,Thomson 15.6 Inch In-N15I Windows 11,"26,490",THOMSON
